videoid,videourl,good_sub,sub,title,query_phrase,channel,channel_id,channel_url,punctuation_count,subtitle_duration,channel_follower_count,upload_date,duration,view_count,categories,like_count,subtitle_coverage
utNyyst6i0g,https://www.youtube.com/watch?v=utNyyst6i0g,True,True,جنگ های داخلی آمریکا و نتیجه ای که منجر به لغو برده داری شد,,OnTen,@OnTenTV,https://www.youtube.com/@OnTenTV,76,922.43,411000.0,20241028.0,1193.0,113807.0,['People & Blogs'],3540.0,
m66f2A9VeX0,https://www.youtube.com/watch?v=m66f2A9VeX0,True,True,دو شاهکار مهندسی قدیم و جدید در دو سوی دنیا,,Chizomiz,@ChizomizTV,https://www.youtube.com/@ChizomizTV,23,1160.73,262000.0,20240709.0,1441.0,108133.0,['People & Blogs'],3057.0,
eIyrv3LMn-E,https://www.youtube.com/watch?v=eIyrv3LMn-E,True,True,هواپیماهای نیروی هوایی ایالات متحده آمریکا | USAF,,DeltaPi,@DeltaP,https://www.youtube.com/@DeltaP,267,791.4,23100.0,20220723.0,1019.0,38038.0,['Science & Technology'],1352.0,
GfEKnS-ZlI4,https://www.youtube.com/watch?v=GfEKnS-ZlI4,True,True,BMW E36 Vanos   Tensioners Removal  آموزش مکانیک خودرو ، کار بر روی موتور بی ام دبلیو بخش 2,,Javankhodro,@javancar,https://www.youtube.com/@javancar,168,991.23,6910.0,20211217.0,2034.0,182.0,['Education'],4.0,
hxd1-Xwl6p4,https://www.youtube.com/watch?v=hxd1-Xwl6p4,True,True,پیام های مخفی شیطان در آهنگ خواننده های معروف - به چیزهای که گوش میدیم دقت کنیم | ISA TV,پیام هشدار,ISA TV,@isatvyt,https://www.youtube.com/@isatvyt,14,667.1,410000.0,20200604.0,935.0,506940.0,['Entertainment'],13889.0,
KOmAp7-r0-o,https://www.youtube.com/watch?v=KOmAp7-r0-o,True,True,آلمان بعد از هیتلر | داستان آلمان بین سال های 1945- 1949 | تاریخ آلمان,,zho podcast,@ZhoPodcast,https://www.youtube.com/@ZhoPodcast,56,1873.5,7530.0,20240516.0,1950.0,27238.0,['Education'],647.0,
7fUMeB5PU4A,https://www.youtube.com/watch?v=7fUMeB5PU4A,True,True,دره گمنام که مردم بسیار کم سفر کرده - نورستان افغانستان | قسمت پنجم,,عمران ودان Emran Wadan,@EmranWadan,https://www.youtube.com/@EmranWadan,55,1741.98,32500.0,20241008.0,2733.0,43803.0,['People & Blogs'],1370.0,
QTC5RmeDbUQ,https://www.youtube.com/watch?v=QTC5RmeDbUQ,True,True,باورتون میشه که 300 هزار سال از موعد جابجایی قطب های زمین گذشته است ؟,,Chizomiz,@ChizomizTV,https://www.youtube.com/@ChizomizTV,37,678.6,260000.0,20250111.0,873.0,55227.0,['People & Blogs'],2316.0,
HUgCKeezlVc,https://www.youtube.com/watch?v=HUgCKeezlVc,True,True,محاسبات اولیه در پمپ های سانتریفیوژ / preliminary introduction of centrifugal pumps,,Centrifugal Pump knowledge,@centrifugalpumpknowledge190,https://www.youtube.com/@centrifugalpumpknowledge190,72,995.52,172.0,20230305.0,1050.0,529.0,['Education'],13.0,
SnOOSOHIxUY,https://www.youtube.com/watch?v=SnOOSOHIxUY,True,True,تاریخچه کامل یهودیان، اورشلیم و سرزمین فلسطین ( قسمت دوم ),,Rokh Podcast,@rokhpodcast,https://www.youtube.com/@rokhpodcast,92,6072.59,116000.0,20231031.0,6113.0,528940.0,['People & Blogs'],4740.0,
ymNbGFcLKyc,https://www.youtube.com/watch?v=ymNbGFcLKyc,True,True,تحت هر شرایطی به خودت مسلط باش ! راه های افزایش قدرت درونی |فلسفه رواقی,,گفتار نیک,@GoftareNik,https://www.youtube.com/@GoftareNik,93,886.72,12200.0,20240805.0,885.0,2830.0,['People & Blogs'],121.0,
PZrSBR07kSg,https://www.youtube.com/watch?v=PZrSBR07kSg,True,True,۱. مارتین اسکورسیزی، رابرت دنیرو و فیلم گاو خشمگین,,Podgard,@podgard307,https://www.youtube.com/@podgard307,24,4130.77,106.0,20240704.0,4190.0,141.0,['Film & Animation'],5.0,
hbEMarFnoRM,https://www.youtube.com/watch?v=hbEMarFnoRM,True,True,چالش یک روز  با ۳ میلیون توی دانمارک 😢 | ورشکست شدم😢,,Mehran MK,@MehranMK,https://www.youtube.com/@MehranMK,586,976.07,254000.0,20240228.0,1102.0,56147.0,['Education'],1220.0,
5f-WQBAd-Kk,https://www.youtube.com/watch?v=5f-WQBAd-Kk,True,True,نکات ضروری اپلای مقطع دکترا استرالیا - قسمت اول: مصاحبه با استاد دانشگاه سیدنی,,Bioskill,@Bioskill,https://www.youtube.com/@Bioskill,48,759.82,8000.0,20200925.0,1045.0,3217.0,['Education'],178.0,
IA_9egRMSsA,https://www.youtube.com/watch?v=IA_9egRMSsA,True,True,Corner 45: Neda Sehat | مقابله با نگاه جنسیت‌زده‌ی محیط پیرامون توسط یک مدیرعامل آژانس تبلیغاتی,,Cozy Corner with Hossein Nasiri,@cozycornershow,https://www.youtube.com/@cozycornershow,2306,6604.72,8200.0,20241212.0,7220.0,4482.0,['Education'],39.0,
